id;title;author;year;type;publisher;artist;quality;price;location;genre;weight;pages;isbn;description;image;notes;user_id
108;An American Vision : Three Generations of Wyeth Art;Wyeth, Newell Convers;1987;Hardcover w/ jacket;Brandywine;NULL;Good ;40;Sycamore: 3rd, Left;Art;NULL;NULL;N;NULL;108;"\"Kummer\" written inside cover";2
109;Great German Novels and Short Stories;Cerf, Bennett;1933;Hardcover;Modern Library;NULL;Used;60;Sycamore: Top;NULL;NULL;NULL;N;NULL;109;NULL;2
110;Doctor Zhivago;Pasternak, Boris;1958;Leather Hardcover;Pantheon;NULL;Used;150;Sycamore: Top;NULL;NULL;NULL;N;NULL;110;Kapor book leaf inside ;2
31;Aku-Aku: The Secret of Easter Island.;Heyerdahl, Thor;1958;Hardcover w/ Jacket;Rand McNally & Co;NULL;Fair ;85;Sycamore: 2rd, Left;History, Education;1.93;384;N;"Thor Heyerdahl was a Norwegian ethnographer and adventurer with a background in zoology and geography. He became notable for his Kon-Tiki expedition, in which he sailed 8,000 km (5,000 mi) across the Pacific Ocean in a self-built raft from South America to the Tuamotu Islands in 1947. The expedition was designed to demonstrate that ancient people could have made long sea voyages, creating contacts between apparently separate cultures. He is the author of another important text, Aku-Aku, this time focusing on the secrets and mysteries of Easter Island. This was linked to a diffusionist model of cultural development. Heyerdahl subsequently made other voyages designed to demonstrate the possibility of contact between widely separated ancient peoples. He was appointed a government scholar in 1984. In May 2011, the Thor Heyerdahl Archives were added to UNESCO's \"Memory of the World\" Register. At the time, this list included 238 collections from all over the world. The Heyerdahl Archives span the years 1937 to 2002 and include his photographic collection, diaries, private letters, expedition plans, articles, newspaper clippings, original book and article manuscripts. The Heyerdahl Archives are administered by the Kon-Tiki Museum and the National Library of Norway in Oslo.";31;NULL;2
32;The Dawn of Civilization: The First World Survey of Human Cultures in Early Times;Piggott, Stuart (editor);1961;Hardcover w/ jacket;McGraw-Hill;NULL;Used, Fair ;85;Sycamore: Bottom;History;6.41;NULL;9;"Profusely illustrated with 940 illustrations, 172 in color, 110 original reconstructions, 645 photographs & drawings, 48 maps & chronological charts. 14 of the world's leading archaeologists & more than 3 years in the making, this most complete survey, in text & illustrations, of civilized man, is a truly important contribution . . . tracing the history of man, extending over many thousands of years\\; from the hunters, cannibals & gatherers of the first half-million years through the beginnings of village life, the birth of written history, the use of merchant venturers, Aegean heroes, ancient India & Cathay & the nomad peoples of the Steppes, to the birth of the New World\\; a magnificent & sweeping account\\;";32;NULL;2
33;Bay Psalm Book and The Enigma of the Bay Psalm Book, The;Haraszti, Zoltan;1956;2 volume hardcover with slipcase;The University of Chicago Press;NULL;Good ;80;Syacmore: Top, Left;Religion & Spirituality;NULL;NULL;N;NULL;33;Very nice set, a little sun damage on the box and the spine;2
34;Bridges of Madison Country, The;Waller, Robert James;1992;Hardcover w/ Jacket;Warner;NULL;Used, Like New;80;Sycamore: Top, Left;Novel;NULL;NULL;N;NULL;34;"\"KAPOR, 12-30-93\" inscribed on frist page";2
35;Extended Travels in Romantic America;Jobe, Joseph;1966;Leather Hardcover w/ slipcase;Edita;NULL;Good , Like New;80;Sycamore:;Americana;NULL;NULL;N;NULL;35;First Edition;2
36;Hout Bay's Big Catch;Savage, Debora;1989;Hardcover;Book Studio;Charnock, Lesley (illustrator);Used, Good ;80;Aaron's Place;Childrens;NULL;36;9;NULL;36;"First Edition. \"Aaron 1990\" written inside.";2
37;Heritage: Dickens - Our Mutual Friend;Dickens, Charles;1957;Hardcover w/ slipcase;Heritage Press;Ward, Lynd (illustrator);Good, Like New;35;Sycamore: 2nd;Novel;NULL;NULL;N;NULL;37;Sandglass included.;2
38;John of the Mountains: The Unpublished Jornals of John Muir;Wolfe, Linnie Marsh;1938;hardcover, missing jacket;Houghton Mifflin;NULL;Fair ;80;Sycamore: Top;Memoirs;NULL;NULL;N;NULL;38;First Edition, Signed and with a book plate inside the front cover. Same book with jacket sells up to $500;2
39;History of the Reign of Ferdinand and Isabella;Prescott, William Hickling;1967;Hardcover w/ slipcase;Heritage Press;Freitas, Lima De (illustrator);Good;35;Sycamore: 2rd, Left;Novel;NULL;NULL;N;NULL;39;Sandglass pamplet included.;2
40;Life On The Mississippi;Twain, Mark;1944;NULL;NULL;NULL;NULL;900;Sycamore: Dining Room Cabinet;NULL;NULL;NULL;N;NULL;40;"First Edition / First Printing / First State / Intermediate A. Illustration of Mark Twain's head in flames above an urn on page 441. Illustration caption reads \"The St Charles Hotel\" on page 443.";2
41;Making of Buffalo Bill, The;Walsh, Richard J.;1928;Hardcover, missing jacket;Bobbs-Merrill Company;NULL;Fair;80;Sycamore:;History, Biography;NULL;NULL;N;NULL;41;First Edition.;2
42;Iliad of Homer, The;"Homer\\; Pope, Alexander (translator)";1943;Hardcover w/ slipcase;Heritage Press;Flaxman, John (illustrator);Good;35;Sycamore: 4th, Right;Literature, Poetry;NULL;NULL;N;NULL;42;Sandglass included.;2
43;Yamamoto Masao: Tori;Masao, Yamamoto;2017;Hardcover;Radius Books;Masao, Yamamoto;New;700;Aaron's Place;Photography, Art, Japanese;2.82;160;9;The master of the silent moment trains his lens on his lifelong obsession: birds  As a small boy growing up in the Japanese countryside, photographer Masao Yamamoto enjoyed looking up at the sky. From his classroom window, he would gaze at the windblown clouds, mesmerized by airborne creatures such as birds, butterflies and winged insects. He sometimes dreamed of riding on the back of a bird and flying away to faraway places.  Yamamoto’s career as a photographer began in 1993. One of Japan’s most important living photographers, Yamamoto has taken many different approaches to photography over the past 20 years. But what has remained constant is the artist’s belief that humans are just a small part of nature, united with it and part of it. Throughout his career, Yamamoto has often returned to animals, particularly birds, as a subject, reflecting his childhood fascination with the creatures and his eternal commitment to the unity of humanity and nature. With Tori, the photographer departs on yet another artistic journey, with a new series of quietly moving animal images (tori means “bird” in Japanese). Yamamoto asks himself, and his viewers: What do we see, and what do we identify with, in birds?;43;Limited edition signed by the photographer in japanese caligraphy.;2
44;Evening of the Holiday, The;Hazzard, Shirley;1966;Hardcover w/ Jacket;Knopf;Salter, George (cover);Good shape;75;Sycamore: Top, Left;Novel;NULL;NULL;N;NULL;44;"First Edition. \"Joan Kapor\" inscribed on cover page.";2
45;Bible as the Story of You, The: a Journey Into Light;Baughman, John Lee;1980;Leather Hardciver, w/ Jacket;DeVorss & Co.;NULL;Used, Like New;500;Sycamore:;Religion;NULL;NULL;N;NULL;45;First Edition, very rare. Leather hardcover with gold stamping on cover+spine.;2
46;Geology Illustrated;Shelton, John S.;1966;Hardcover w/ jacket;Freeman;NULL;Good , Like New;75;Sycamore: Bottom;Science & Technology;NULL;NULL;N;NULL;46;"First Edition.\"1100CLH\" and \"G.L.K.\" stamped inside.";2
47;Holy Bible Containing Old and New Testaments, The;Brown, Rev. John;1873;Hardcover, engraved;John E. Potter and Company;NULL;Used, Fair ;500;Josh's Place;Religion;NULL;NULL;N;NULL;47;NULL;2
48;Morals & Dogma of the Ancient & Accepted Scottish Rite of Freemasonry;Pike, Albert;1946;Hardcover;Charleston;N/A;Good ;75;Sycamore: 2nd, Left;Law;NULL;NULL;9;Morals and Dogma of the Ancient and Accepted Scottish Rite of Freemasonry, or simply Morals and Dogma, is a book of esoteric philosophy published by the Supreme Council, Thirty Third Degree, of the Scottish Rite, Southern Jurisdiction of the United States. It was compiled by Albert Pike, was first published in 1871 and was regularly reprinted thereafter until 1969. An upgraded official reprint was released in 2011, with annotations by Arturo de Hoyos, the Scottish Rite's Grand Archivist and Grand Historian.;48;Not a library copy.;2
53;Age of Innocence, The;Wharton, Edith;1977;Leather Hardcover;franklin library;NULL;Used;275;Josh's Place;NULL;NULL;NULL;N;NULL;53;NULL;2
54;Laurel's Kitchen Bread Book: A Guide to Whole-Grain Breadmaking;"Robertson, Laurel\\; Flinders, Carol\\; Godfrey, Bronwen";1984;Hardcover, missing jacket;Random House;NULL;Good, Like New;45;Sycamore:;Cooking, Food, Culinary;NULL;448;N;The Laurel’s Kitchen Bread Book is the classic bestselling cookbook devoted to baking light, healthful, delicious bread entirely from whole grains. This specially updated edition includes an entirely new chapter on making excellent whole-grain loaves in a bread machine. Now even the busiest among us can bake the delectable loaves for which Laurel’s Kitchen is famous.New research proves what we’ve known all Eating whole grains really is better for your health! Here, the switch from “white” is made fun and easy.Like a good friend, the “Loaf for Learning” tutorial guides you step-by-step through the baking process. You’ll make perfect loaves every time, right from the start.Here you’ll find recipes for everything—from chewy Flemish Desem Bread and mouthwatering Hot Cross Buns to tender Buttermilk Rolls, foolproof Pita Pockets, tangy Cheese Muffins, and luscious Banana Bread—all with clear explanations and helpful woodcut illustrations.The brand-new chapter on bread machines teaches you to make light “electric” loaves from whole-grain flour. No matter what your schedule, you can come home to the wonderful smell of baking bread, fresh, hot, and ready to enjoy.;54;NULL;2
55;Making Cordials & Liqueurs at Home;Farrell, John P.;1974;Hardcover w/ Jacket;Harper & Row;NULL;Good , Like New;35;Sycamore: Top;Hobbies & Crafts;NULL;NULL;N;NULL;55;First Edition;2
56;American Barns and Covered Bridges;Sloane, Eric;1954;Hardcover w/ jacket;Funk & Wagnalls Co;Sloane, Eric;Good ;70;Sycamore:;Art, Americana, Illustrations;NULL;112;9;"When this book was first published in the mid-1950s, the author was concerned that such functional structures as the American barn and the covered bridge would soon give way to progress and be replaced by \"modern\" elements. Today, a number of these sturdy, beautifully proportioned barns and bridges are still standing — monuments to the skill and keen eye of their original builders. This lovingly written book, accompanied by more than 75 of the author's own sketches, provides a reliable record of those vanishing forms of architecture. Accurate line drawings depict a variety of barns, such as those in Maine, attached to houses\\; an \"open\" log barn in Virginia, and a \"top hat\" barn in North Carolina. Covered bridges — like barns, built for soundness and endurance — are also illustrated, among them a saltbox structure in New England, a bridge with a pedestrian walkway in rural New York State, and a 10-span-long bridge at Clark's Ferry, Pennsylvania. Possessing a deep feeling for what might be called the Age of Wood, the author writes with \"warmth and astonishing comprehension.\" — New York Herald Tribune Book Review. Americana enthusiasts and lovers of these traditional symbols of early American life will delight in this priceless tribute to a bygone era. Over 75 black-and-white illustrations.";56;First Edition. should belong to a 3 vol boxset. Clipping inside the DJ.;2
57;Art of Maurice Sendak, The;Lanes, Selma G.;1980;Hardcover w/ jacket;Abrams;Sendak, Maurice;Used, Good ;250;Sycamore: 3rd, Left;Art;NULL;NULL;N;NULL;57;First Edition.;2
58;"Man and Superman\\; the Revolutionist's Handbook";Shaw, George Bernard;1962;Hardcover w/ slipcase;Heritage Press;Mozley, Charles (illustrator);Fair ;35;Sycamore: 4th, Right;Theatre, Literature;NULL;NULL;N;NULL;58;Sandglass included. ;2
60;life of samuel johnson, The;James Boswell;1963;Hardcover ;NULL;NULL;Used;225;Sycamore:;NULL;NULL;NULL;N;NULL;60;in three volumes;2
61;Laurel's Kitchen: A Handbook for Vegetarian Cookery and Nutrition;"Robertson, Laurel\\; Flinders, Carol\\; Godfrey, Bronwen";1977;Hardcover w/ jacket;Nilgiri Press;NULL;Good;45;Sycamore:;Cooking, Food, Culinary;2.65;512; ;The complete cookbook and reference center for the whole-foods kitchen - over a million copies sold!  The New Laurel's Kitchen is everything that made the first edition loved and trusted, with hundreds of new recipes and the latest nutritional information.;61;"\"Luke Kapor, 9/7/78\" written inside. ";2
62;Man of Property, The;Galsworthy, John;1964;Hardcover w/ slipcase;Heritage Press;Mozley, Charles (illustrator);Good;35;Sycamore: 5th;Novel, Fiction;NULL;NULL;N;NULL;62;Sandglass included.;2
63;Complete Work of Michelangelo, The;Tolnay, Charles de;1966;Hardcover w/ jacket;Artabras;Michelangelo;Fair ;70;Sycamore: 3rd, Left;Art;11.9;597;N;This is the most magnificent and most comprehensive volume ever published on Michelangelo and his work. It is a companion volume to the monumental work on Leonardo da Vinci published in 1956 which has now sold well over 100,000 copies. Michelangelo and Leonardo were the two great geniuses of the Italian Renaissance and this book, like the one on Leonardo, brings the full scope of the artist's achievements vividly to life. Compiled by outstanding Michelangelo scholars under the direction of Mario Salmi of the University of Rome and Vice President of the Council of Antiquities and Fine Arts, this volume covers the entire range of Michelangelo under eight general headings: The historic and artistic personality of Michelangelo.;63;N/A;2
64;Le Morte D'Arthur;Malory, Thomas;1961;Hardcover, missing jacket;Oxford University Press;NULL;Good;45;Sycamore: 2nd, Right;Novel;NULL;530;N;NULL;64;First edition.;2
65;Master of Ballantrae, The;Stevenson, Robert Louis;1965;Hardcover w/ slipcase;Heritage Press;Ward, Lynd (illustrator);Good, Like New;35;Sycamore: 3rd, Right;Novel;NULL;NULL;N;NULL;65;Sandglass included. ;2
66;Girl in a Swing, The;Adams, Richard;1980;Hardcover w/ Jacket;Knopf;N/A;Used;70;Sycamore: 2nd, Left;N/A;1.72;339;9;A quiet English bachelor falls headlong in love with and impulsively marries a stunningly beautiful young German woman and only slowly discovers the nature of the darkness and doom she carries with her;66;First Edition;2
67;Leatherstocking Saga, The;Cooper, James Fenimore;1954;Hardcover;Pantheon;"Braun, Andor (designer)\\; Marsh, Reginald (illustrator)";Good, Like New;45;Sycamore: 2nd, Right;Novel;NULL;NULL;9;"The Leatherstocking Tales is a series of novels by American writer James Fenimore Cooper, each featuring the main hero Natty Bumppo , known by European settlers as \"Leatherstocking,\" 'The Pathfinder\", and \"the trapper\" and by the Native Americans as \"Deerslayer,\" \" La Longue Carabine \" and \"Hawkeye\".";67;Bookplate inside.;2
68;Masterpieces of Painting in the Metropolitan Museum of Art;Virch, Claus;1970;Softcover;Metropolitan Museum of Arts;N/A;Good, used;35;Aaron's Place;Art, Museum;NULL;NULL;N;"Here, each one reproduced in full color, are a hundred of the Museum's finest paintings, carefully chosen to offer a broad account of periods and styles. Eighty-five of the works are from European schools—Italian, Flemish, Dutch, German, Spanish, British—ranging in time from an Epiphany by Giotto to Picasso's portrait of Gertrude Stein. The rest are American paintings, beginning with canvases by Pratt, Copley, and Stuart, continuing with Sargent, Homer, and Eakins, and concluding with a work by Morris Louis, painted in 1961. Long-time favorites are here (Bruegel's The Harvesters, El Greco's View of Toledo, Veronese's Mars and Venus United by Love, Watteau's Mezzetin) as well as extraordinary recent accessions (Rembrandt's Aristotle Contemplating the Bust of Homer, La Tour's Fortune Teller, Monet's Terrace at Sainte-Adresse). Each reproduction is accompanied by comment on the painting's origin and significance. Expressly written for this book, these comments are the work of two of the Museum's experienced writers, Edith A. Standen and Thomas M. Folds. Introducing the publication, Claus Virch, Curator of European Paintings, gently warns persons who may unconsciously, through conditioning in our world of superabundant illustrations, settle for a color reproduction in place of the real thing. A book such as this, he notes, first of all hopes to prepare its \"readers\" for confrontations with the actual paintings. Second, it hopes to guide or refresh memories of the actual paintings. The aptness here of such reminders is partly a tribute to the care with which the hundred reproductions have been color-corrected and seen through the press. The book should appeal to a wide range of readers, both as a splendid sample of the Metropolitan's paintings collections and a stirring reminder of great achievements in art across a span of nearly seven centuries.";68;N/A;2
69;Grimm's Fairy Tales (2 Volumes);Grimm, Wilhelm and Jacob;1962;Hardcover w/ slipcase;Heritage Press;Corcos, Lucille (illustrator);Good;70;Sycamore: 3rd, Right;Fairy Tales;NULL;NULL;N;NULL;69;Sandglass missing.;2
70;Lives of John Lennon, The;Goldman, Albert;1988;Hardcover w/ jacket;Morrow;NULL;Good shape;45;Sycamore:;Biographies;NULL;NULL;N;NULL;70;First Edition. ;2
1916;Canterbury Cathedral;Shirley, John;1974;Staple-bound;Pitkin Pictorials;N/A;Good;5;Aaron & Tina's;History, Geography, Travel, Guide, Art;0.2;24;9;NULL;1916;"\"July 19, 1981\" written inside.";2
71;Michelangelo : Painter, Sculptor, Architect;Hibbard, Howard;1978;Hardcover w/ jacket;Vendome;Michelangelo;Used, Good ;35;Sycamore: 3rd, Left;Art;NULL;NULL;N;NULL;71;"\"To Patti on Christmas Day 1978, Love George\" written inside. DJ clipped";2
72;Heritage: Dickens - Five Christmas Novels;Dickens, Charles;1939;Hardcover w/ slipcase;Heritage Press;Birch, Reginald (illustrator);Good, Like New;70;Sycamore: 2nd;Novel, Christmas;NULL;NULL;N;NULL;72;Missing Sandglass.;2
120;Brain-Washing in Red China The Calculated Destruction of Men's Minds;Hunter, Edward;1951;Hardcover, Missing Jacket;Vanguard;N/A;Used, Fair;40;Sycamore: Top;Non-Fiction;1.7;311;N;"\"Brain washing,\" with the even more sinister \"brain-changing\" in reserve, is the terrifying new Communist strategy to conquer the free world by destroying its mind. This is the first book that reveals how the Communists in China are utilizing this combination of misapplied psychology and perverted evangelism to make the Chinese impervious to all but the \"straight party line.\" It is George Orwell's 1984 brought to life -- a strange, distorted world that even Robinson Crusoe is condemned because of poor Crusoe's reliance on individual initiative. Mr. Hunter's account of this vicious technique is specific as well as general: A student tells how his brains were \"washed\" in a communist indoctrination school\\; another awakens from hypnotic control just in time to save his family\\; other chapters deal with the all-pervading campaign of hatred in Red China, directed particularly against America. 'Brain-Washing in Red China' thus discloses for the first time new and horrifying extremes in the psychological warfare being waged against the free world and against the very concept of freedom.";120;"\"F. Kozuka\" written inside";2
121;History of the Decline and Fall of the Roman Empire, The (3 Volumes);Gibbon, Edward;1946;Hardcover w/ slipcase;Heritage Press;NULL;Good;120;Sycamore: 5th, Left;History;NULL;NULL;N;NULL;121;Sandglass pamplet included.;2
122;Art of Bev Doolittle, The;MacLay, Elise;1990;Hardcover w/ jacket;Bantam;Doolittle, Bev;Used, Good ;55;Sycamore: 3rd, Left;Art;3.15;160;9;Filled with visual surprises, Doolittle's art engages both the eye and the mind, encouraging the viewer to look beyond what is seen at first glance. In the book's text, the artist describes her aim of slowing down the viewing process and explores her fascination with Native American themes and wildlife.;122;First Edition. Jacket clipped inside;2
123;Brave New World;Huxley, Aldous;1963;Softcover;Time;Salemme, Attilio (illustrator);Good;40;Josh's Place;Novel;NULL;NULL;N;Brave New World is a dystopian novel by English author Aldous Huxley, written in 1931 and published in 1932.;123;NULL;2
124;An Island Garden, with Pictures and Illuminations By Childe Hassam;Thaxter, Celia;1988;Hardcover w/ slipcase;Houghton Mifflin;Hassam, Childe (Illustrator);Used, Like New;100;Aaron's Place;Novel;NULL;NULL;N;A gardening classic, this elegant and charming slipcased gift edition is for anyone who loves an island, a garden, the paintings of Childe Hassam, or beautiful bookmaking.;124;First Edition.;2
125;Bleak House;Dickens, Charles;1953;Leather Hardcover;International Collector's Library;Gorey, Edward;Good, Like New;55;Sycamore: Top;Novel, Fiction, History, Classics;NULL;NULL;N;NULL;125;NULL;2
126;Cattle King, The;Miller, Henry;1966;Hardcover w/ Jacket;Valley;NULL;Used, good shape;40;Sycamore: Top, Left;Biography;NULL;NULL;N;"In the late 1800's the \"Bulls Head\" became so famous and respected in the West that checks bearing it were accepted as readily as currency. Behind the \"Bulls Head\" checks was the empire built by Henry Miller, a German emigrant who arrived in this country with the equivalent of $6.00 in his pockets. This is the story of how he wrested his fortune from the early West, not with the shovel and pan of the gold miner, but with his skill as a butcher, businessman and cattle rancher.";126;"\"To George and Joan, 'Merry Christmas' 1973, From Stan and Jean\" Inscribed on frist page.\"";2
127;Another Country;James Baldwin;1962;Hardcover w/ Jacket;Dial;NULL;Good shape;100;Sycamore: Top, Left;Novel;NULL;NULL;N;Another Country is a 1962 novel by James Baldwin. The novel is primarily set in Greenwich Village, Harlem, and France in the late 1950s. It portrayed many themes that were taboo at the time of its release, including bisexuality, interracial couples and extramarital affairs.;127;First Edition.;2
128;Dinner Party, The;Chicago, Judy;1979;Softcover;Anchor;Sheila Levrant de Bretteville (designer);Fair ;55;Aaron & Tina's;Art, Feminism;NULL;NULL;N;"For the past five years, Judy Chicago - a name synonymous with feminist breakthroughs in art - has been transforming the idea of a dinner party into a work of unprecedented beauty and scope. A monumental sculpture, \"The Dinner Party\" is a symbolic history of women's achievements and struggles told through 39 china painted plates and elaborately embroidered runners which cover a triangular table. This book is the story of its creation and the history it represents.";128;NULL;2
181;Kuboyama and the Saga of the Lucky Dragon;Hudson, Richard;1965;Hardcover, missing jacket;Thomas Yoseloff;NULL;Good;40;Aaron's Place;Art, Museum;NULL;NULL;N;NULL;181;"\"G.L.K.\" stamp inside.";2
129;Churchill His Paintings;Coombs, David (compiler);1967;Hardcover w/ jacket;World Publishing Co.;Churchill, Windston;Good, Used;40;Sycamore: 4th, Left;Art, Museum;2.25;272;9;NULL;129;"\"To George and Joan, Christmas 1970, From Carol\"";2
131;Emir's Education in the Proper Use of Magical Powers;Jane Roberts;1979;Hardcover w/ Jacket;Delacorte Press;NULL;Used, Good shape;55;Sycamore:;Fantasy;NULL;NULL;N;NULL;131;"First Edition, \"G.L.K\" stamp inside,";2
132;Complete Novels and Selected Tales of Nathaniel Hawthorne, The;Hawthorne, Nathaniel;1937;Hardcover, missing jacket;Modern Library;NULL;Very Good;40;Sycamore:;Literature, Classics;NULL;NULL;9;Fanshawe: Ellen is memorable as the typical damsel in distress. Fanshawe and Edward Walcott are captivating as the rivals for Ellen's love who put their differences aside to save her. The Angler is captivating as a villain who offers some interesting passages and is not quite a monster. And Hawthorne manages to speed things up with a wild chase and bitter confrontation.;132;"\"Joan Hyde, Sept. 1941\" written inside with many notes and highlights.";2
