"id";"name";"slug";"description";"description_html"
"13";"Milky Way";"milky-way";"Bacon ipsum dolor amet alcatra short loin tail meatloaf, cow buffalo jerky filet mignon swine porchetta ball tip hamburger ribeye tenderloin.";"<p>Bacon ipsum dolor amet alcatra short loin tail meatloaf, cow buffalo jerky filet mignon swine porchetta ball tip hamburger ribeye tenderloin.</p>"
"14";"Cubic Light Years";"cubic-light-years";"Bacon ipsum dolor amet alcatra short loin tail meatloaf, cow buffalo jerky filet mignon swine porchetta ball tip hamburger ribeye tenderloin.";"<p>Bacon ipsum dolor amet alcatra short loin tail meatloaf, cow buffalo jerky filet mignon swine porchetta ball tip hamburger ribeye tenderloin.</p>"
"15";"Dimple";"dimple";"Chicken pork loin spare ribs beef ground round, swine jerky biltong. Shankle meatball tongue swine leberkas corned beef doner turducken. Tenderloin frankfurter venison hamburger sirloin, chuck cow flank tri-tip.";"<p>Chicken pork loin spare ribs beef ground round, swine jerky biltong. Shankle meatball tongue swine leberkas corned beef doner turducken. Tenderloin frankfurter venison hamburger sirloin, chuck cow flank tri-tip.</p>"
"16";"Buffalo Jerky";"buffalo-jerky";"Bacon ipsum dolor amet alcatra short loin tail meatloaf, cow buffalo jerky filet mignon swine porchetta ball tip hamburger ribeye tenderloin.";"<p>Bacon ipsum dolor amet alcatra short loin tail meatloaf, cow buffalo jerky filet mignon swine porchetta ball tip hamburger ribeye tenderloin.</p>"
"17";"Total Snow";"total-snow";"Bacon ipsum dolor amet alcatra short loin tail meatloaf, cow buffalo jerky filet mignon swine porchetta ball tip hamburger ribeye tenderloin.";"<p>Bacon ipsum dolor amet alcatra short loin tail meatloaf, cow buffalo jerky filet mignon swine porchetta ball tip hamburger ribeye tenderloin.</p>"
"18";"Burgdoggen";"burgdoggen";"Ball tip shankle short loin tongue capicola picanha andouille shoulder pastrami biltong short ribs salami cow shank";"<p>Ball tip shankle short loin tongue capicola picanha andouille shoulder pastrami biltong short ribs salami cow shank</p>"
"19";"Non-Matter";"non-matter";"No description yet.";"<p>No description yet.</p>"
"20";"Neon Donkey";"neon-donkey";"No description yet.";"<p>No description yet.</p>"
"21";"Mars Express";"mars-express";"No description yet.";"<p>No description yet.</p>"
"22";"Tina Butterscotch";"tina-butterscotch";"No description yet.";"<p>No description yet.</p>"
"23";"Software Syntax";"software-syntax";"No description yet.";"<p>No description yet.</p>"
"24";"Game of Chess";"game-of-chess";"No description yet.";"<p>No description yet.</p>"
"25";"Cheese";"cheese";"No description yet.";"<p>No description yet.</p>"
"26";"Nebula";"nebula";"No description yet.";"<p>No description yet.</p>"
"27";"Clouds";"clouds";"No description yet.";"<p>No description yet.</p>"
"28";"Largest Stars";"largest-stars";"No description yet.";"<p>No description yet.</p>"
"29";"Galaxy filament";"galaxy-filament";"No description yet.";"<p>No description yet.</p>"
"30";"Hercules-Corona Borealis";"hercules-corona-borealis";"No description yet.";"<p>No description yet.</p>"
"31";"Physical Cosmology";"physical-cosmology";"No description yet.";"<p>No description yet.</p>"
"32";"Large quasar group";"large-quasar-group";"No description yet.";"<p>No description yet.</p>"
"33";"CfA2 Great Wall";"cfa2-great-wall";"No description yet.";"<p>No description yet.</p>"
"34";"Coma Filament";"coma-filament";"No description yet.";"<p>No description yet.</p>"
"35";"Perseus–Pegasus Filament";"perseuspegasus-filament";"No description yet.";"<p>No description yet.</p>"
"36";"Ursa Major Filament";"ursa-major-filament";"No description yet.";"<p>No description yet.</p>"
"37";"Discovery";"discovery";"No description yet.";"<p>No description yet.</p>"
"38";"Shape of the universe";"shape-of-the-universe";"No description yet.";"<p>No description yet.</p>"
"39";"Gamma-ray bursts";"gamma-ray-bursts";"No description yet.";"<p>No description yet.</p>"
"40";"Big Bang";"big-bang";"No description yet.";"<p>No description yet.</p>"
"41";"Reionization";"reionization";"No description yet.";"<p>No description yet.</p>"
"42";"Dark energy";"dark-energy";"No description yet.";"<p>No description yet.</p>"
"43";"Lambda-CDM model";"lambda-cdm-model";"No description yet.";"<p>No description yet.</p>"
"44";"Scientists";"scientists";"No description yet.";"<p>No description yet.</p>"
"45";"Galaxy formation";"galaxy-formation";"No description yet.";"<p>No description yet.</p>"
"46";"Coma Supercluster";"coma-supercluster";"No description yet.";"<p>No description yet.</p>"
"47";"Computer simulation";"computer-simulation";"No description yet.";"<p>No description yet.</p>"
"48";"Structure formation";"structure-formation";"No description yet.";"<p>No description yet.</p>"
"49";"Large-scale structure";"large-scale-structure";"No description yet.";"<p>No description yet.</p>"
"50";"Lynx–Ursa Major Filament";"lynxursa-major-filament";"No description yet.";"<p>No description yet.</p>"
"51";"Moons";"moons";"No description yet.";"<p>No description yet.</p>"
"52";"Observable universe";"observable-universe";"No description yet.";"<p>No description yet.</p>"
"53";"Quasars";"quasars";"No description yet.";"<p>No description yet.</p>"
"54";"Huge-LQG";"huge-lqg";"No description yet.";"<p>No description yet.</p>"
"55";"Experiments";"experiments";"No description yet.";"<p>No description yet.</p>"
"56";"Webster LQG";"webster-lqg";"No description yet.";"<p>No description yet.</p>"
"57";"Komberg–Kravtsov–Lukash LQG 1";"kombergkravtsovlukash-lqg-1";"No description yet.";"<p>No description yet.</p>"
"58";"Tesch–Engels LQG";"teschengels-lqg";"No description yet.";"<p>No description yet.</p>"
"59";"Big Ring";"big-ring";"No description yet.";"<p>No description yet.</p>"
"60";"BOSS Great Wall";"boss-great-wall";"No description yet.";"<p>No description yet.</p>"
"61";"Sloan Great Wall";"sloan-great-wall";"No description yet.";"<p>No description yet.</p>"
"62";"U1.11 LQG";"u111-lqg";"No description yet.";"<p>No description yet.</p>"
"63";"Shapley Supercluster";"shapley-supercluster";"No description yet.";"<p>No description yet.</p>"
"64";"Laniakea Supercluster";"laniakea-supercluster";"No description yet.";"<p>No description yet.</p>"
"65";"Saraswati Supercluster";"saraswati-supercluster";"No description yet.";"<p>No description yet.</p>"
"66";"Pisces–Cetus Supercluster Complex";"piscescetus-supercluster-complex";"No description yet.";"<p>No description yet.</p>"
"67";"Virgo Supercluster";"virgo-supercluster";"No description yet.";"<p>No description yet.</p>"
"68";"Komberg-Kravtsov-Lukash LQG 10";"komberg-kravtsov-lukash-lqg-10";"No description yet.";"<p>No description yet.</p>"
"69";"Pisces-Cetus Supercluster";"pisces-cetus-supercluster";"No description yet.";"<p>No description yet.</p>"
"70";"Sculptor Wall";"sculptor-wall";"No description yet.";"<p>No description yet.</p>"
"71";"cosmic microwave background";"cosmic-microwave-background";"No description yet.";"<p>No description yet.</p>"
"72";"Giant GRB Ring";"giant-grb-ring";"No description yet.";"<p>No description yet.</p>"
"73";"WMAP";"wmap";"No description yet.";"<p>No description yet.</p>"
"74";"Plasma";"plasma";"No description yet.";"<p>No description yet.</p>"
"75";"Spectral distortions";"spectral-distortions";"No description yet.";"<p>No description yet.</p>"
"76";"Black body";"black-body";"No description yet.";"<p>No description yet.</p>"
"77";"Polarization";"polarization";"No description yet.";"<p>No description yet.</p>"
"78";"Peculiar velocity";"peculiar-velocity";"No description yet.";"<p>No description yet.</p>"
"79";"Galaxy clusters";"galaxy-clusters";"No description yet.";"<p>No description yet.</p>"
"80";"Project Echo";"project-echo";"No description yet.";"<p>No description yet.</p>"
"81";"Millimeter-wave";"millimeter-wave";"No description yet.";"<p>No description yet.</p>"
"82";"Cosmic web";"cosmic-web";"No description yet.";"<p>No description yet.</p>"
"83";"MAXIMA";"maxima";"No description yet.";"<p>No description yet.</p>"
"84";"Planck cosmology probe";"planck-cosmology-probe";"No description yet.";"<p>No description yet.</p>"
"85";"Decoupling";"decoupling";"No description yet.";"<p>No description yet.</p>"
"86";"Standard Cosmological Model";"standard-cosmological-model";"No description yet.";"<p>No description yet.</p>"
"87";"Redshifted";"redshifted";"No description yet.";"<p>No description yet.</p>"
"88";"Electromagnetic spectrum";"electromagnetic-spectrum";"No description yet.";"<p>No description yet.</p>"
"89";"Cosmic inflation";"cosmic-inflation";"No description yet.";"<p>No description yet.</p>"
"90";"Photons";"photons";"No description yet.";"<p>No description yet.</p>"
"91";"Intergalactic medium";"intergalactic-medium";"No description yet.";"<p>No description yet.</p>"
"92";"Sachs–Wolfe effect";"sachswolfe-effect";"No description yet.";"<p>No description yet.</p>"
"93";"Steady state model";"steady-state-model";"No description yet.";"<p>No description yet.</p>"
"94";"Dark Age";"dark-age";"No description yet.";"<p>No description yet.</p>"
"95";"Herschel Space Observatory";"herschel-space-observatory";"No description yet.";"<p>No description yet.</p>"
"96";"South Pole Telescope";"south-pole-telescope";"No description yet.";"<p>No description yet.</p>"
"97";"Local Group";"local-group";"No description yet.";"<p>No description yet.</p>"
"98";"Ecliptic plane";"ecliptic-plane";"No description yet.";"<p>No description yet.</p>"
"99";"Planck telescope";"planck-telescope";"No description yet.";"<p>No description yet.</p>"
"100";"Big Crunch";"big-crunch";"No description yet.";"<p>No description yet.</p>"
"101";"Big Rip";"big-rip";"No description yet.";"<p>No description yet.</p>"
"102";"Synchrotron";"synchrotron";"No description yet.";"<p>No description yet.</p>"
"103";"Anomalies";"anomalies";"No description yet.";"<p>No description yet.</p>"
"104";"Multipole";"multipole";"No description yet.";"<p>No description yet.</p>"
"105";"Data analysis challenges";"data-analysis-challenges";"No description yet.";"<p>No description yet.</p>"
"106";"E-modes";"e-modes";"No description yet.";"<p>No description yet.</p>"
"107";"B-modes";"b-modes";"No description yet.";"<p>No description yet.</p>"
"108";"Light-years";"light-years";"No description yet.";"<p>No description yet.</p>"
"109";"Zone of Avoidance";"zone-of-avoidance";"No description yet.";"<p>No description yet.</p>"
"110";"Gravitational lensing";"gravitational-lensing";"No description yet.";"<p>No description yet.</p>"
"111";"General Catalogue of Nebulae";"general-catalogue-of-nebulae";"No description yet.";"<p>No description yet.</p>"
"112";"Visible wavelengths";"visible-wavelengths";"No description yet.";"<p>No description yet.</p>"
"113";"Hydrogen";"hydrogen";"No description yet.";"<p>No description yet.</p>"
"114";"Vela Supercluster";"vela-supercluster";"No description yet.";"<p>No description yet.</p>"
"115";"Great Attractor";"great-attractor";"No description yet.";"<p>No description yet.</p>"
"116";"Star cluster";"star-cluster";"No description yet.";"<p>No description yet.</p>"
"117";"Globular clusters";"globular-clusters";"No description yet.";"<p>No description yet.</p>"
"118";"Open cluster";"open-cluster";"No description yet.";"<p>No description yet.</p>"
"119";"Cepheids";"cepheids";"No description yet.";"<p>No description yet.</p>"
"120";"variable stars";"variable-stars";"No description yet.";"<p>No description yet.</p>"
"121";"Nonsense";"nonsense";"This is a group dedicated to nonsense.";"<p>This is a group dedicated to nonsense.</p>"
"122";"Drama Queen";"drama-queen";"Lots of drama in this one";"<p>Lots of drama in this one</p>"
"123";"Big Bad Star";"big-bad-star";"No description yet.";"<p>No description yet.</p>"
"124";"Two many nights";"two-many-nights";"No description yet.";"<p>No description yet.</p>"
"125";"Long Haired Hippies";"long-haired-hippies";"This is a group for Long Haired Hippies";"<p>This is a group for Long Haired Hippies</p>"
"127";"Love you so much";"love-you-so-much";"Lots of kitties everywhere.";"<p>Lots of kitties everywhere.</p>"
